Txn,Script,Date,Cash,StockPrice,Investment,IRR
[BUY],HDFC Bank Ltd.,09/04/14,0,371,100,
[BUY],HCL Technologies Ltd.,11/04/14,0,350,100,
[BUY],Tech Mahindra Ltd.,11/04/14,0,434,100,
[BUY],Infosys Ltd.,15/04/14,0,407,100,
[BUY],ITC Ltd.,16/04/14,0,230,100,
[BUY],Mahindra & Mahindra Ltd.,17/04/14,0,498,100,
[BUY],Housing Development Finance Corporation Ltd.,17/04/14,0,880,100,
[BUY],IndusInd Bank Ltd.,17/04/14,0,498,100,
[BUY],Larsen & Toubro Ltd.,21/04/14,0,881,100,
[BUY],Titan Company Ltd.,21/04/14,0,259,100,
[BUY],Wipro Ltd.,28/04/14,0,198,100,
[BUY],Asian Paints Ltd.,30/04/14,0,505,100,
[BUY],Nestle India Ltd.,30/04/14,0,4772,100,
[BUY],Tata Consultancy Services Ltd.,05/05/14,0,1106,100,
[BUY],Reliance Industries Ltd.,05/05/14,0,468,100,
[BUY],Tata Steel Ltd.,05/05/14,0,37,100,
[BUY],Maruti Suzuki India Ltd.,06/05/14,0,1909,100,
[BUY],NTPC Ltd.,07/05/14,0,96,100,
[BUY],Power Grid Corporation Of India Ltd.,08/05/14,0,77,100,
[BUY],Ultratech Cement Ltd.,09/05/14,0,2078,100,
[BUY],Bharti Airtel Ltd.,12/05/14,0,286,100,
[BUY],Hindustan Unilever Ltd.,12/05/14,0,570,100,
[BUY],Sun Pharmaceutical Industries Ltd.,15/05/14,0,621,100,
[BUY],Bajaj Finserv Ltd.,16/05/14,0,819,100,
[BUY],Bajaj Finance Ltd.,16/05/14,0,176,100,
[BUY],Axis Bank Ltd.,17/06/14,0,367,100,
[BUY],ICICI Bank Ltd.,17/06/14,0,263,100,
[BUY],Kotak Mahindra Bank Ltd.,30/06/14,0,442,100,
[BUY],State Bank Of India,15/07/14,0,251,100,
[SALE],Reliance Industries Ltd.,21/09/15,92,434,92,-9.73
[SALE],HDFC Bank Ltd.,22/09/15,231,513,138,60.57
[SALE],Housing Development Finance Corporation Ltd.,22/09/15,364,1167,132,49.99
[SALE],IndusInd Bank Ltd.,22/09/15,541,887,177,128.25
[SALE],Nestle India Ltd.,22/09/15,670,6140,128,42.23
[SALE],NTPC Ltd.,22/09/15,775,100,104,6.44
[SALE],Power Grid Corporation Of India Ltd.,22/09/15,901,98,126,37.78
[SALE],Tech Mahindra Ltd.,23/09/15,1029,555,127,42.86
[SALE],ITC Ltd.,28/09/15,1121,212,92,-11.09
[SALE],Infosys Ltd.,28/09/15,1257,554,135,56.34
[SALE],Wipro Ltd.,28/09/15,1369,222,111,17.44
[BUY],Reliance Industries Ltd.,30/09/15,0,426,1369,
[SALE],HCL Technologies Ltd.,01/10/15,122,428,122,34.88
[SALE],Maruti Suzuki India Ltd.,01/10/15,362,4579,239,241.94
[SALE],Tata Consultancy Services Ltd.,07/10/15,482,1327,119,29.55
[SALE],Bajaj Finance Ltd.,07/10/15,772,512,290,341.45
[SALE],Mahindra & Mahindra Ltd.,08/10/15,899,635,127,43.03
[BUY],HCL Technologies Ltd.,08/10/15,0,414,899,
[SALE],Larsen & Toubro Ltd.,08/10/15,115,1022,115,24.29
[SALE],Titan Company Ltd.,08/10/15,247,341,131,49.53
[SALE],Sun Pharmaceutical Industries Ltd.,08/10/15,394,915,147,71.89
[SALE],Asian Paints Ltd.,09/10/15,563,853,168,113.3
[SALE],Hindustan Unilever Ltd.,09/10/15,707,817,143,66.22
[SALE],Bharti Airtel Ltd.,13/10/15,815,311,108,12.62
