On_date,Open_double,High_double,Low_double,Close_double
2013-09-02,18691.83,18942.06,18678.93,18886.13
2013-09-03,19002.77,19007.31,18166.17,18234.66
2013-09-04,18314.68,18612.6,18188.43,18567.55
2013-09-05,18857.6,19117.52,18847.02,18979.76
2013-09-06,19072.02,19293.96,18929.38,19270.06
2013-09-10,19448.39,20012.69,19444.66,19997.09
2013-09-11,19999.77,20055.53,19777.63,19997.45
2013-09-12,20046.05,20052.05,19676.49,19781.88
2013-09-13,19744.54,19899.37,19675.68,19732.76
2013-09-16,19977.38,20086.43,19596.15,19742.47
2013-09-17,19721.9,19819.1,19635.44,19804.03
2013-09-18,19865.99,20013.33,19775.29,19962.16
2013-09-19,20354.73,20739.69,20347.3,20646.64
2013-09-20,20616.35,20677.99,20051.43,20263.71
2013-09-23,20060.82,20199.81,19826.3,19900.96
2013-09-24,19820.03,20050.42,19782.78,19920.21
2013-09-25,19947.43,19978.49,19658.74,19856.24
2013-09-26,19853.66,19997.28,19826.99,19893.85
2013-09-27,19951.73,19981.57,19674.38,19727.27
2013-09-30,19643.89,19651.31,19320.73,19379.77
2013-10-01,19452.05,19532.91,19264.72,19517.15
2013-10-03,19585.79,19929.24,19583.97,19902.07
2013-10-04,19870,20052,19833.17,19915.95
2013-10-07,19880.94,19921.38,19647.88,19895.1
2013-10-08,20094.21,20150.27,19936.72,19983.61
2013-10-09,19918.2,20277.74,19826.96,20249.26
2013-10-10,20228.76,20323.77,20135.91,20272.91
2013-10-11,20535.9,20559.69,20368.06,20528.59
2013-10-14,20534.61,20645.94,20497.88,20607.54
2013-10-15,20722.9,20759.58,20446.73,20547.62
2013-10-17,20579.56,20629.8,20375.42,20415.51
2013-10-18,20486.78,20932.23,20486.78,20882.89
2013-10-21,20915.76,20970.92,20768.99,20893.89
2013-10-22,20863.15,20948.91,20810.25,20864.97
2013-10-23,20875.31,20922.32,20589.72,20767.88
2013-10-24,20766.05,21039.42,20656.7,20725.43
2013-10-25,20725.52,20782.16,20622.55,20683.52
2013-10-28,20696.51,20771.36,20550.64,20570.28
2013-10-29,20593.49,20952.55,20493.66,20929.01
2013-10-30,20944.14,21086.59,20937.12,21033.97
2013-10-31,21000.6,21205.44,20991.98,21164.52
2013-11-01,21158.81,21293.88,21141.32,21196.81
2013-11-03,21278.08,21321.53,21212.31,21239.36
2013-11-05,21134.1,21158.56,20951.71,20974.79
2013-11-06,21004.54,21045.38,20861.42,20894.94
2013-11-07,20896.13,21142.85,20797.06,20822.77
2013-11-08,20785.2,20821.01,20600.9,20666.15
2013-11-11,20596.4,20672.53,20453.15,20490.96
2013-11-12,20510.31,20584.22,20262.22,20281.91
2013-11-13,20248.52,20365.59,20161.64,20194.4
2013-11-14,20351.39,20568.99,20348.27,20399.42
2013-11-18,20570.59,20868.76,20570.59,20850.74
2013-11-19,20870.16,20934.4,20828.69,20890.82
2013-11-20,20857.01,20895.3,20579.94,20635.13
2013-11-21,20579.26,20579.26,20189.23,20229.05
2013-11-22,20316.58,20388.12,20137.67,20217.39
2013-11-25,20326.66,20626.15,20326.66,20605.08
2013-11-26,20604.27,20604.27,20390.62,20425.02
2013-11-27,20449,20482.67,20348.06,20420.26
2013-11-28,20522.36,20606.38,20461.51,20534.91
